1;Προεδρία της Δημοκρατίας;4.638.000;0;4.638.000;;
2;Βουλή των Ελλήνων;169.950.000;2.000.000;171.950.000;;
3;Προεδρία της Κυβέρνησης;37.689.000;4.000.000;41.689.000;;
4;Υπουργεία Συνολικα;1.293.515.637.000;14.094.000.000;1.307.609.637.000;;
5;Υπουργείο Εσωτερικών;3.449.276.000;381.000.000;3.830.276.000;;
6;Υπουργείο Εξωτερικών;390.237.000;30.000.000;420.237.000;;
7;Υπουργείο Εθνικής Άμυνας;6.061.000.000;69.000.000;6.130.000.000;;
8;Υπουργείο Υγείας;6.608.424.000;569.000.000;7.177.424.000;;
9;Υπουργείο Δικαιοσύνης;577.803.000;73.000.000;650.803.000;;
10;Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού;5.594.000.000;1.012.000.000;6.606.000.000;;
11;Υπουργείο Πολιτισμού;257.419.000;318.000.000;575.419.000;;
12;Υπουργείο Εθνικής Οικονομίας και Οικονομικών;1.243.381.464.000;3.137.000.000;1.246.518.464.000;;
13;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;222.403.000;1.059.000.000;1.281.403.000;;
14;Υπουργείο Περιβάλλοντος και Ενέργειας;319.227.000;2.022.000.000;2.341.227.000;;
15;Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης;18.215.084.000;463.000.000;18.678.084.000;;
16;Υπουργείο Κοινωνικής Συνοχής και Οικογένειας;3.786.553.000;203.000.000;3.989.553.000;;
17;Υπουργείο Ανάπτυξης;123.045.000;695.000.000;818.045.000;;
18;Υπουργείο Υποδομών και Μεταφορών;881.810.000;1.813.000.000;2.694.810.000;;
19;Υπουργείο Ναυτιλίας και Νησιωτικής Πολίτικης;336.864.000;315.000.000;651.864.000;;
20;Υπουργείο Τουρισμού;39.293.000;150.000.000;189.293.000;;
21;Υπουργείο Ψηφιακής Διακυβέρνησης;151.928.000;922.000.000;1.073.928.000;;
22;Υπουργείο Μετανάστευσης και Ασύλου;141.871.000;334.000.000;475.871.000;;
23;Υπουργείο Προστασίας του Πολίτη;2.217.820.000;68.000.000;2.285.820.000;;
24;Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας;760.116.000;461.000.000;1.221.116.000;
25;Αποκεντρωμένες Διοικήσεις;79.592.000;0;79.592.000;;
26;Αποκεντρωμένη Διοίκηση Αττικής;13.091.000;0;13.091.000;;
27;Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας;10.579.000;0;10.579.000;
28;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής;9.943.000;0;9.943.000;;
29;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής;14.918.000;0;14.918.000;;
30;Αποκεντρωμένη Διοίκηση Αιγαίου;6.188.000;0;6.188.000;;
31;Αποκεντρωμένη Διοίκηση Κρήτης;6.497.000;0;6.497.000;;
32;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;18.376.000;0;18.376.000;;
33;Σύνολο εξόδων Κρατικού Προϋπολογισμού;1.293.807.506.000;14.100.000.000;1.307.907.506.000;;
